dataset,model,elapsed_mean,elapsed_std,nnz_mean,nnz_std,fdr_mean,fdr_std,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,shd_mean,shd_std,sid_mean,sid_std
cancer,ABAPC (ASPforABA),0.47,0.24,3.86,0.64,0.55,0.14,0.44,0.15,0.35,0.09,0.45,0.14,0.44,0.15,0.47,0.11,2.34,0.69,10.04,2.0
cancer,Random,0.0,0.0,4.0,0.0,0.8,0.22,0.2,0.22,0.54,0.14,0.2,0.22,0.2,0.22,0.36,0.16,5.6,1.65,11.26,4.4
cancer,MPC,0.0,0.0,0.34,1.17,0.05,0.19,0.03,0.12,0.04,0.13,0.35,0.24,0.03,0.12,0.48,0.03,3.9,0.42,10.2,1.41
cancer,ABAPC (Ours),0.96,1.0,3.86,0.64,0.55,0.14,0.44,0.15,0.35,0.09,0.45,0.14,0.44,0.15,0.47,0.11,2.34,0.69,10.24,2.13
cancer,NOTEARS-MLP,5.69,3.72,1.92,0.49,0.57,0.19,0.22,0.09,0.18,0.05,0.43,0.19,0.22,0.09,0.33,0.02,3.14,0.35,10.14,0.73
earthquake,ABAPC (ASPforABA),0.27,0.33,4.6,0.67,0.12,0.13,1.0,0.04,0.1,0.13,0.88,0.13,1.0,0.04,0.93,0.08,0.62,0.75,0.06,0.42
earthquake,Random,0.0,0.0,4.0,0.0,0.83,0.16,0.17,0.16,0.55,0.11,0.17,0.16,0.17,0.16,0.29,0.1,5.7,1.42,10.56,3.55
earthquake,MPC,0.0,0.0,4.6,0.49,0.13,0.11,0.99,0.05,0.11,0.09,0.87,0.11,0.99,0.05,0.92,0.08,0.68,0.68,0.08,0.4
earthquake,ABAPC (Ours),0.58,0.68,4.58,0.61,0.12,0.13,0.99,0.05,0.1,0.12,0.88,0.13,0.99,0.05,0.93,0.09,0.62,0.73,0.12,0.59
earthquake,NOTEARS-MLP,41.55,8.63,5.24,0.66,0.77,0.11,0.3,0.13,0.67,0.16,0.23,0.11,0.3,0.13,0.28,0.1,4.08,0.92,12.76,2.54
survey,ABAPC (ASPforABA),9.62,43.85,4.14,0.78,0.57,0.18,0.3,0.13,0.26,0.08,0.43,0.18,0.3,0.13,0.38,0.12,4.56,1.03,15.32,3.22
survey,Random,0.0,0.0,6.0,0.0,0.76,0.16,0.24,0.16,0.51,0.11,0.24,0.16,0.24,0.16,0.28,0.14,7.98,1.77,17.54,6.06
survey,MPC,0.0,0.0,0.1,0.71,0.01,0.08,0.01,0.05,0.01,0.05,0.4,,0.01,0.05,0.36,,5.96,0.28,17.06,0.42
survey,ABAPC (Ours),4.69,10.66,4.16,0.84,0.62,0.19,0.27,0.15,0.28,0.08,0.38,0.19,0.27,0.15,0.36,0.12,4.76,1.1,15.7,3.23
survey,NOTEARS-MLP,1.78,1.77,0.44,0.5,0.28,0.45,0.03,0.06,0.03,0.05,0.36,0.49,0.03,0.06,0.29,0.0,5.84,0.37,16.84,0.37
