dataset,impl,time,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high
dag_5_nodes_7_edges_none_ER,llm-bfs,1,6,0,0.8571,0,1,0.8571,0.9231,1,3,6,0,0.8571,0,0.8333,0.7143,0.7692,5,3,10
dag_10_nodes_10_edges_degrees_SF,llm-bfs,1,8,0.375,0.5556,0.0833,0.625,0.5556,0.5882,5,17,8,0.125,0.7778,0.0278,0.75,0.6667,0.7059,6,7,29
dag_5_nodes_7_edges_none_random,llm-bfs,1,9,0.2222,1,0.6667,0.7778,1,0.875,2,0,9,0.2222,1,0.6667,0.5556,0.7143,0.625,4,0,19
dag_15_nodes_15_edges_degrees_SF,llm-bfs,1,22,0.6364,0.5714,0.1538,0.3636,0.5714,0.4444,17,30,22,0.5,0.7857,0.1209,0.3636,0.5714,0.4444,18,3,70
dag_15_nodes_22_edges_none_SF,llm-bfs,1,11,0.3636,0.5,0.044,0.6364,0.5,0.56,7,46,11,0,0.7857,0,0.8182,0.6429,0.72,8,28,69
dag_5_nodes_7_edges_semantics_ER,llm-bfs,1,3,0,0.4286,0,1,0.4286,0.6,4,8,3,0,0.4286,0,0,0,,6,8,16
dag_10_nodes_15_edges_degrees_random,llm-bfs,1,13,0.3077,0.6,0.1333,0.6923,0.6,0.6429,8,33,13,0.3077,0.6,0.1333,0.3077,0.2667,0.2857,14,33,62
dag_10_nodes_15_edges_degrees_ER,llm-bfs,1,6,0.3333,0.2667,0.0667,0.6667,0.2667,0.381,11,53,6,0.3333,0.2667,0.0667,0.3333,0.1333,0.1905,14,53,67
dag_15_nodes_15_edges_none_random,llm-bfs,1,29,0.7931,0.4,0.2556,0.2069,0.4,0.2727,26,61,29,0.6897,0.6,0.2222,0.1724,0.3333,0.2273,29,50,103
dag_5_nodes_5_edges_degrees_ER,llm-bfs,1,4,0.25,0.6,0.2,0.75,0.6,0.6667,2,9,4,0,0.8,0,0.75,0.6,0.6667,3,9,15
dag_10_nodes_10_edges_degrees_random,llm-bfs,1,3,0.3333,0.2,0.0286,0.6667,0.2,0.3077,8,29,3,0,0.3,0,0.3333,0.1,0.1538,10,29,47
