dataset,num_nodes,num_edges,impl,run_id,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high
factors_influencing_well_being_and_resources,9,8,org,0,10.09879452700261,15,7,0.1429,0.75,0.0357,0.8571,0.75,0.8,2.0,11.0,7,0.0,0.875,0.0,0.7143,0.625,0.6667,1.0,5.0,11.0
factors_influencing_well_being_and_resources,9,8,org,1,1.0855039421003312,8,7,0.1429,0.75,0.0357,0.8571,0.75,0.8,2.0,11.0,7,0.0,0.875,0.0,0.7143,0.625,0.6667,1.0,5.0,11.0
factors_influencing_well_being_and_resources,9,8,org,2,1.9919151189969853,12,8,0.125,0.875,0.0357,0.875,0.875,0.875,2.0,5.0,8,0.125,0.875,0.0357,0.75,0.75,0.75,3.0,5.0,11.0
factors_influencing_well_being_and_resources,9,8,org,3,1.9726453649345785,6,8,0.25,0.75,0.0714,0.75,0.75,0.75,3.0,11.0,8,0.125,0.875,0.0357,0.625,0.625,0.625,2.0,5.0,16.0
factors_influencing_well_being_and_resources,9,8,org,4,1236.2397227099864,49,8,0.25,0.75,0.0714,0.75,0.75,0.75,3.0,11.0,8,0.125,0.875,0.0357,0.625,0.625,0.625,2.0,5.0,11.0
factors_influencing_well_being_and_resources,9,8,org,5,254.02262055303436,25,8,0.125,0.875,0.0357,0.875,0.875,0.875,2.0,5.0,8,0.125,0.875,0.0357,0.625,0.625,0.625,2.0,5.0,16.0
factors_influencing_well_being_and_resources,9,8,org,6,0.474977235076949,6,7,0.0,0.875,0.0,1.0,0.875,0.9333,1.0,5.0,7,0.0,0.875,0.0,0.7143,0.625,0.6667,1.0,5.0,11.0
factors_influencing_well_being_and_resources,9,8,org,7,0.7719652149826288,3,8,0.25,0.75,0.0714,0.75,0.75,0.75,3.0,11.0,8,0.125,0.875,0.0357,0.625,0.625,0.625,2.0,5.0,16.0
factors_influencing_well_being_and_resources,9,8,org,8,1.4405849049799144,9,7,0.0,0.875,0.0,1.0,0.875,0.9333,1.0,5.0,7,0.0,0.875,0.0,0.7143,0.625,0.6667,1.0,5.0,11.0
factors_influencing_well_being_and_resources,9,8,org,9,6.100080235977657,11,7,0.1429,0.75,0.0357,0.8571,0.75,0.8,2.0,11.0,7,0.0,0.875,0.0,0.7143,0.625,0.6667,1.0,5.0,11.0
factors_influencing_well_being_and_resources,9,8,org,10,233.4565024849726,33,8,0.125,0.875,0.0357,0.875,0.875,0.875,2.0,5.0,8,0.125,0.875,0.0357,0.75,0.75,0.75,3.0,5.0,11.0
factors_influencing_well_being_and_resources,9,8,org,11,0.9229634610237554,6,7,0.0,0.875,0.0,1.0,0.875,0.9333,1.0,5.0,7,0.0,0.875,0.0,0.7143,0.625,0.6667,1.0,5.0,11.0
