,,meta,meta,meta,time,time,remove_n,remove_n,cpdag_F1,cpdag_F1,cpdag_shd,cpdag_shd,cpdag_sid_low,cpdag_sid_low,cpdag_sid_high,cpdag_sid_high
,,num_nodes,num_edges,repeats,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,impl,,,,,,,,,,,,,,,
clinical_variables_in_cardiovascular_and_gastrointestinal_health,new,5,4,50,0.08430397215066472,0.035640206705392266,10.34,3.7883279387387474,0.653334,0.14409540293478756,1.12,1.0427592909082664,3.24,3.936018914837578,5.76,2.015855517984301
clinical_variables_in_cardiovascular_and_gastrointestinal_health,org,5,4,50,0.07971537398407232,0.029683570572084164,9.78,3.0592115831050464,0.5509208333333333,0.2030319720743439,1.84,1.556552968214427,3.8,3.619674131234265,7.68,3.6221540552549665
pharmacological_and_cardiac_health_dynamics,new,6,6,50,0.09987976898206392,0.08668892753689844,6.5,6.996354735991932,0.23328666666666667,0.07677409195426735,4.82,0.7196938124462856,13.88,5.7272709603319125,20.96,2.9758209294380666
pharmacological_and_cardiac_health_dynamics,org,6,6,50,0.12186289422446858,0.12033944934371062,6.26,6.381766117268025,0.23311600000000002,0.06117059260788634,5.02,0.9145089013302412,15.2,6.648615016125769,21.18,2.9876617025660037
clinical_pathways_in_cardiac_and_abdominal_health,new,7,7,50,1.4786802882165648,0.704867837573386,31.08,10.651894533032944,0.49670624999999996,0.15309192261062313,3.96,1.211509431263668,16.04,9.213920258533403,35.96,4.0252265749385865
clinical_pathways_in_cardiac_and_abdominal_health,org,7,7,50,2.6109231882798487,1.490521219813467,30.54,10.363219892032216,0.48813617021276595,0.14398549357114734,4.58,1.4298565648058434,16.92,8.778080307080304,35.44,4.504691432047169
medical_conditions_and_outcomes,new,8,7,50,0.9542373031610623,1.7279110284761925,10.86,10.546321536876432,0.73869,0.06492796086464457,2.0,1.5649215928719034,4.64,2.447489342496235,20.06,3.0332174605961417
medical_conditions_and_outcomes,org,8,7,50,2.399439798116218,4.711602940801342,10.5,10.170485510053298,0.709496,0.11993044916423307,2.38,2.0691120051355165,5.14,2.6186926166329947,20.72,2.4498229840258308
factors_influencing_well_being_and_resources,new,9,8,50,36.85755241472041,112.74115454070468,17.78,14.188656003430115,0.629308,0.07678584010620917,2.28,1.7961409880573382,5.84,2.4357875983939565,13.64,4.7456102164559
factors_influencing_well_being_and_resources,org,9,8,50,156.02297365373232,421.53337545707745,17.74,14.147632671372323,0.6341079999999999,0.0639332171975139,2.44,2.031989072765091,6.0,2.740475156178697,13.1,3.547059719410039
